,term,definition
0,1099-DIV,A tax form that reports dividends or distributions earned on stocks or mutual funds.
1,1099-B,A tax form that reports gains and losses from selling stocks or other investments in a brokerage account.
2,401(k) Plan,"A defined contribution plan where an employer deducts money from an employee's salary and places it into a tax-deferred retirement account. Taxes are paid upon withdrawal, and early withdrawals incur penalties."
3,529 Plan,"A U.S. state-sponsored, tax-advantaged investment plan for educational expenses, including college, trade school, or K-12 tuition."
4,After-Tax (Dollars/Contributions),Money that has already been taxed.
5,Alternative Minimum Tax (AMT),"A tax system ensuring taxpayers with certain types of income (e.g., incentive stock options) pay a minimum level of tax."
6,Annual Contribution Limits,IRS rules determining how much can be contributed to retirement accounts each year.
7,Annualized Return,"The average annual gain or loss of an investment over a specific period, accounting for compound growth."
8,Asset Allocation,"An investment strategy balancing asset classes (stocks, bonds, cash) based on goals, risk tolerance, and timeline."
9,Asset Class,"One of the three major types of investments: stocks, bonds, and cash equivalents."
10,Award Agreement,"A document detailing the terms of a stock grant, including shares, award price, and vesting schedule."
11,Award Price,"The price paid per share when exercising stock options, also called exercise price, grant price, option price, or strike price."
12,Bear Market,A market where share prices decline more than 20% from a recent high.
13,Beneficiary,A person or entity designated to receive benefits or assets.
14,Blue-Chip Stock,"Shares of large, financially sound companies that are industry leaders."
15,Bond,"A loan made to a government, municipality, or corporation in exchange for periodic interest payments and repayment of the principal."
16,Bond Ladder,A portfolio of bonds with staggered maturity dates to minimize interest rate risk and provide steady income.
17,Broker,"An intermediary between buyers and sellers of securities, often charging a commission."
18,Brokerage Account,"A taxable account for investing in stocks, bonds, ETFs, mutual funds, and other securities."
19,Bull Market,A market where share prices rise 20% or more from recent lows.
20,Capital Gain,Profit from selling an investment at a higher price than its purchase price.
21,Capital Gains Tax,Tax on profits from selling capital assets. Long-term gains (held over a year) are taxed at lower rates than short-term gains.
22,Capital Loss,Loss from selling an investment at a lower price than its purchase price.
23,Certificate of Deposit (CD),A federally insured bank deposit with a fixed interest rate and maturity date.
24,Certified Financial Planner™ (CFP®),"A professional who meets education, experience, and ethical standards to provide financial planning services."
25,Cliff,The date when vesting restrictions for restricted stock or options end.
26,Common Stock,"Partial ownership of a company, granting voting rights and potential dividends."
27,Compound Growth,Reinvesting earnings to increase total investment value over time.
28,Cost Basis,The original price paid for an investment.
29,Cryptocurrency,A virtual currency secured by cryptography and recorded on a blockchain.
30,Diversification,An investment strategy mixing asset classes and investments to reduce risk.
31,Dividends,"Portions of a company's earnings distributed to shareholders, often in cash or additional shares."
32,Dollar-Cost Averaging,"Investing a fixed amount regularly, regardless of share price."
33,Dow Jones Industrial Average (DJIA),A stock market index tracking 30 prominent U.S. companies.
34,Earned Income,"Taxable income from employment or self-employment, excluding investment or retirement income."
35,Earnings Season,The period when corporations report quarterly earnings.
36,Employee Stock Option Exercise and Equity Award Agreement,A document authorizing a brokerage firm to act on behalf of an employee in equity award transactions.
37,Employee Stock Purchase Plan (ESPP),A plan allowing employees to buy company stock at a discount through payroll deductions.
38,Employer-Sponsored Retirement Account,"A retirement plan provided by an employer, such as a 401(k) or 403(b), often with tax benefits and employer matching."
39,Equity Compensation,"Compensation based on company stock, including stock options, restricted stock, or performance awards."
40,Equity Security,"Partial ownership of a company, granting voting rights and potential dividends."
41,Exchange-Traded Fund (ETF),"A fund holding assets like stocks or bonds, traded on exchanges like stocks."
42,Exercise,Acting on the right to purchase company stock at the grant price.
43,Exercise and Hold,Purchasing company stock at the grant price and holding the shares for future sale.
44,Exercise and Sell,Purchasing and immediately selling company stock.
45,Exercise Date,The date on which stock options are exercised.
46,Exercise Price,"The price paid per share when exercising stock options, also called award price, grant price, or strike price."
47,Fair Market Value (FMV),The price a willing buyer would pay a willing seller for a share of stock.
48,Fractional Share,"A portion of a share, allowing investment based on dollar amounts."
49,Futures,Contracts to buy or sell an asset at a set price on a future date.
50,Grant,"An award of stock options, restricted stock units (RSUs), or performance stock units (PSUs)."
51,Grant Agreement,"A document detailing the terms of a stock grant, including shares, award price, and vesting schedule."
52,Grant Date,"The date stock options, RSUs, or PSUs are granted."
53,Grant ID,A unique identifier for each equity award.
54,Grant Price,"The price of the award at the time of the grant, also called award price, strike price, or exercise price."
55,Holding Period,The time an investment is held to qualify for favorable tax treatment.
56,Incentive Stock Options (ISOs),"Tax-advantaged stock options under U.S. tax law, with potential AMT implications."
57,Index,"A group of securities representing a market, sector, or commodity, such as the S&P 500 or NASDAQ."
58,Individual Retirement Account (IRA),A retirement account with tax advantages for individuals with earned income.
59,Initial Public Offering (IPO),The process of offering shares of a private company to the public for the first time.
60,In-the-Money Stock Options,Stock options with a market price higher than the grant price.
61,Invest,Putting money into assets like stocks or bonds with the goal of financial gain.
62,Lapse,The date when vesting restrictions for restricted stock or options end.
63,Lookback,A feature in ESPPs allowing stock purchase at the lower of two prices: the offering period's start or end date.
64,Market Price,The current price of a stock in the market.
65,Modified Adjusted Gross Income (MAGI),Adjusted gross income with certain deductions and income added back.
66,Mutual Funds,Investment funds pooling money from many investors to buy a diversified portfolio of assets.
67,Non-Fungible Tokens (NFTs),"Unique digital assets stored on a blockchain, often representing art or collectibles."
68,Non-Qualified Stock Options (NQSOs),Stock options not meeting IRS requirements for tax-advantaged treatment.
69,Option Price,"The price paid per share when exercising stock options, also called award price, strike price, or grant price."
70,Penny Stock,"A stock trading for less than $5 per share, not listed on a major U.S. exchange."
71,Performance Stock Units (PSUs) and Performance Stock Awards (PSAs),Equity compensation awarded based on company performance and service requirements.
72,Portfolio,A collection of investments held by an individual or institution.
73,Preferred Stock,A class of stock with priority over common stock for dividends and assets.
74,Pre-Tax (Dollars/Contributions),Money that has not yet been taxed.
75,Qualified Stock Options,See Incentive Stock Options (ISOs).
